,Anestesia Dor,C PED,C TORAX,C TRAUMA,CAB PESC,CCARD,EDA ADULTO,EDA Infantil,EEF,EEF  Local,GAST   GDP/VB,GAST  OBES,GAST EED,GAST FIG,MARCAP,MARCAP Local,NEURO,NEURO COLU,Oftalmo,ORL,ORT COLUNA,ORT INF,ORT JOELHO,ORT Mão,ORT OMBRO,ORT Pé,ORT Quadril,ORT TRAUMA,ORT Tumor,PLAST,PROCTO,TMO,URO Andro,URO Func,URO GINECO,URO Infantil,URO litiase,URO Onco,URO TX,VASC,VASC LOCAL
b51_29,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
b52_30,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0
b11_31,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,1
b12_32,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
b21_33,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
b22_34,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
b31_35,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0
b32_36,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
b41_37,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,1,0,1,1
b42_38,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
b51_39,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,1,1
b52_40,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0
b11_41,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,1,0
b12_42,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
b21_43,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
b22_44,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
